id,pH,EC,OC,N,P,K,S,Ca,Mg,Zn,Cu,Fe,Mn,B,Mo,Tex,District,label
213,7.15,0.119,17.88,250.9,44.73,453.6,20.16,3084,768,0.2,0.23,17.79,25.64,0.47,0.17,8,0,6
214,6.33,0.093,19.18,213.2,38.5,322.6,20.16,2244,1872,2.82,0.34,16.12,16.28,0.32,0.11,8,0,6
215,6.95,0.171,13.99,200.7,38.11,502.9,16.13,1564,672,0.63,0.51,11.71,23.11,0.79,0.2,5,0,6
216,6.4,0.533,21.45,301.1,45.2,459.2,36.29,1884,672,1.66,0.85,5.3,6.41,0.16,0.17,5,0,5
217,6.03,0.077,8.1,175.6,35.8,425.6,16.13,1644,624,4.75,1.21,10.66,12.91,0.47,0.2,5,0,6
218,7.04,0.247,21.75,250.9,36.7,537.6,8.06,1484,480,0.62,1.65,8.97,5.46,0.16,0.08,5,0,6
219,6.88,0.106,8.25,163.1,28.17,291.2,16.13,1364,768,0.43,0.81,6.15,8.88,0.32,0.17,5,0,6
220,6.5,0.027,7.5,125.4,16.57,380.8,20.16,1244,120,1.1,0.39,12.82,23.77,0.47,0.09,5,0,6
221,6.44,0.136,14.7,213.2,19.88,537.6,8.06,1164,120,0.85,0.35,23.51,21.96,0.95,0.2,1,0,6
222,6.64,0.059,10.5,163.1,28.17,543.2,16.13,1484,888,0.83,0.69,16.35,19.47,0.79,0.19,5,0,6
223,6.15,0.051,12.45,188.2,21.54,268.8,28.23,1364,552,0.82,0.41,17.31,21.74,0.47,0.27,5,0,6
224,6.66,0.04,12.45,138,21.54,358.4,32.26,1164,912,1.24,0.45,26.72,35.56,0.63,0.08,5,0,6
225,5.5,0.046,16.95,301.1,33.14,313.6,24.19,1444,336,1.46,0.56,27.5,38.21,0.95,0.09,8,0,5
226,6.73,0.213,12,250.9,28.17,347.2,16.13,3644,1032,1.36,0.44,9.68,36.65,0.32,0.13,8,0,6
227,7.33,0.218,13.5,200.7,43.08,313.6,20.16,2444,168,0.7,0.39,10,39.39,0.32,0.22,8,0,6
228,6.97,0.136,13.65,238.3,13.25,448,20.16,2684,1368,1.1,0.3,8.75,28.34,0.16,0.31,8,0,6
229,7.36,0.072,14.55,263.4,19.88,504,16.13,2644,1128,0.69,0.39,9.62,17.91,0.16,0.09,5,0,6
230,6.53,0.081,9.75,200.7,28.17,352.8,8.06,2444,384,0.76,0.62,10.79,26.56,0.32,0.2,5,0,6
231,6.12,0.065,12.15,213.2,19.88,537.6,8.06,2124,384,0.83,0.48,8.96,34.35,0.32,0.05,1,0,6
232,6.69,0.067,14.85,250.9,28.17,347.2,12.1,1244,624,0.96,0.5,7.16,34.66,0.32,0.13,8,0,6
233,7.36,0.103,11.7,188.2,46.39,392,16.13,1164,192,0.94,0.44,8.61,23.56,0.16,0.03,8,0,6
234,6.85,0.082,13.2,175.6,16.57,414.4,20.16,1484,480,0.78,0.45,13.14,33.42,0.32,0.09,5,0,6
235,6.95,0.057,11.4,213.2,28.17,537.6,16.13,2284,1296,0.56,0.44,9.7,28.52,0.32,0.22,5,0,6
236,6.45,0.077,10.5,150.5,31.4,380.8,16.13,2324,1176,0.51,0.38,6.92,16.67,0.32,0.06,5,0,6
237,7.16,0.09,7.95,188.2,21.54,470.4,32.26,3044,144,0.84,0.29,6.04,20.84,0.16,0.36,8,0,6
238,6.34,0.117,12.7,207,22.51,347.2,18.51,1899,629,1.08,0.57,12.03,24.33,0.39,0.16,8,0,6
239,6.96,0.132,7.54,188.2,23.7,338.7,16.13,1084,648,0.92,0.22,23.42,6.68,0.95,0.25,1,0,6
240,6.8,0.069,7.1,263.4,29.63,119.8,8.06,2204,1896,0.8,0.51,8.18,6.3,0.32,0.11,5,0,6
241,6.51,0.097,10.14,188.2,8.89,137.8,20.16,2284,1488,1.61,0.45,8.87,8.84,0.32,0.03,5,0,6
242,6,0.121,8.12,163.1,39.2,392,12.1,1244,864,0.7,0.61,27.65,27.46,0.16,0.03,8,0,6
243,6.13,0.057,9.42,225.8,38.6,347.2,32.26,844,624,1.48,0.75,11.66,15.53,0.32,0.13,5,0,6
244,6.42,0.111,7.68,313.6,20.74,281.1,8.06,2084,1320,3.55,0.6,11.76,8.8,0.47,0.36,5,0,3
245,6.06,0.064,5.07,175.6,29.63,385.5,16.13,2084,1128,1.99,0.46,29.38,10.46,0.16,0.2,8,0,6
246,6.38,0.117,14.35,150.5,23.7,246.4,8.06,2244,1200,1.67,0.77,28.36,2.7,0.32,0.05,8,0,6
247,6.04,0.086,7.25,225.8,39.2,347.2,8.06,1244,864,1.07,1.02,20.27,7.84,0.16,0.11,5,0,6
248,6.67,0.108,10,188.2,32.59,414.4,20.16,1964,1008,7.77,0.68,15.67,13.07,0.32,0.03,8,0,6
249,6.35,0.106,8.84,288.5,8.89,358.4,32.26,1644,336,1.44,0.46,29.3,8.53,0.32,0.08,8,0,3
250,6.34,0.137,8.55,138,20.74,283.4,28.23,1844,504,2.13,1.3,14.69,7.86,0.95,0.09,6,0,6
251,6.32,0.091,7.25,125.4,22.51,364,20.16,1164,384,11.93,0.61,12.23,7.32,0.16,0.22,5,0,6
252,7.22,0.192,22.03,238.3,28.9,397.6,24.19,3444,1152,15.65,0.43,12.9,10.52,0.16,0.08,6,0,6
253,6.53,0.176,8.7,200.7,23.7,305.8,16.13,3244,1104,4.84,1.04,7.07,6.78,0.63,0.25,5,0,6
254,7.46,0.123,10.72,200.7,38.52,369.6,20.16,3044,816,10.99,0.75,4.65,5.74,0.32,0.09,5,0,6
255,7.22,0.168,20.87,301.1,45.9,459.2,28.23,2244,1224,4.29,1.79,13.38,5.4,0.32,0.27,5,0,5
256,6.7,0.132,15.8,250.9,32.59,348.3,12.1,1084,624,1.21,2.99,23.49,18.81,0.32,0.2,1,0,6
257,7.37,0.083,7.83,150.5,38.52,318.1,8.06,1364,792,2.84,1.22,13.27,17.43,0.32,0.05,8,0,6
258,6.07,0.115,11.16,200.7,11.25,300.2,16.13,2724,936,7.77,0.68,15.67,13.07,0.47,0.09,8,0,6
259,6.96,0.17,17.83,276,23.7,285.6,20.16,2244,960,8.98,0.6,6.56,8.39,0.16,0.22,8,0,6
260,5.6,0.24,26.52,313.6,36.1,445.8,28.23,4164,936,7.56,1.26,17.65,5.05,0.16,0.09,8,0,5
261,8.11,0.026,19.42,288.5,25.1,420,16.13,1644,384,10.89,1.06,16.58,7.98,0.16,0.14,6,0,5
262,7.11,0.245,26.09,288.5,44.44,380.8,32.26,3444,600,12.87,0.72,12.35,6.13,0.32,0.36,8,0,5
263,7.02,0.179,12.9,163.1,44.44,468.2,20.16,4444,552,17.35,1.23,23.65,9.53,0.32,0.06,8,0,6
264,7.37,0.465,5.8,156.8,60,232.4,2500,420,12.8,10.7,1.4,5.33,4.79,1.1,0.11,15,0,6
265,7.38,0.276,5.02,134.4,61.6,158.2,1800,450,9.5,10.6,1.5,7.42,14.48,2,0.14,14,0,6
266,6.03,0.223,8.11,173.6,64.8,207.7,2350,270,11.5,7.7,1.26,4.36,6.82,2.4,0.15,14,0,6
267,6.14,0.304,6.57,156.8,66.4,296.7,2550,60,8.1,5.2,1.57,3.93,11.03,1.2,0.21,14,0,6
268,7.23,0.262,9.47,212.8,40.8,237.4,1300,630,8.8,4.3,1.2,7.55,8.18,1.4,0.15,14,0,6
269,6.07,7.51,8.89,201.6,40.8,123.6,900,300,11.5,2.2,0.48,15.83,15.59,0.8,0.19,9,0,6
270,5.78,0.136,8.89,179.2,55.1,59.3,800,1560,12.8,4.6,0.35,21.61,16.44,0.7,0.13,14,0,7
271,6.09,0.13,7.92,190.4,45.6,84.1,950,870,10.8,3.3,0.53,18.48,22.1,0.4,0.13,15,0,7
272,6.56,0.226,8.11,179.2,71.2,138.5,1300,360,10.8,2.6,0.45,11.7,9.09,0.5,0.11,14,0,6
273,6.07,0.552,5.99,156.8,74.4,242.3,2500,1170,20.3,8.7,0.75,7.43,14.43,2.8,0.12,15,0,6
274,7.48,0.262,4.64,173.6,74.4,247.3,2550,210,14.9,14.7,1.73,6.88,7.04,1.1,0.14,15,0,6
275,6.75,0.228,8.31,179.2,64,163.2,1350,510,8.1,6.5,1.49,11.42,12.82,1,0.11,14,0,6
276,7.35,0.386,7.15,177.6,69.6,231.3,2500,180,27,5.9,0.93,5.9,5.75,0.9,0.23,14,0,6
277,6.36,0.248,9.27,202.4,54.4,207.7,1400,300,30.4,4,1.03,6.33,9.48,0.6,0.18,15,0,6
278,6.35,0.402,8.5,178,63.2,192.9,2650,1140,21.6,9,2.36,6.6,5.69,1.4,0.12,15,0,6
279,6.33,0.476,8.31,173.6,72,192.9,3100,780,22.3,12.1,1.12,10.98,23.38,1.8,0.1,15,0,6
280,7.2,0.298,6.95,156.8,68.8,216.7,1950,1470,29.7,16.3,2.99,26.79,10.23,1.6,0.14,14,0,6
281,7.42,0.29,9.47,208,58.4,231.9,1200,870,22.3,9.6,1.41,11.04,19.15,0.7,0.13,14,0,6
282,7.47,0.273,6.37,156.4,13.6,227.5,1250,150,30.4,7.7,0.54,6.69,5.01,1.4,0.16,14,0,6
283,7.36,0.518,7.53,183.6,28.8,215.6,2650,510,26.3,9.7,1.69,13.35,5.56,3,0.11,14,0,6
284,6.64,0.138,8.5,196.8,20.8,98.9,2000,510,19.6,5.9,1,16.77,10.2,1,0.12,14,0,7
285,6.88,0.328,9.47,213.6,24,158.2,1700,330,33.1,2.7,0.58,13.93,32.79,1,0.13,9,0,6
286,7.32,0.574,8.11,179.2,63.2,227.5,1600,780,22.3,3.5,0.62,7.7,21.77,3,0.11,14,0,6
287,6.06,0.214,8.31,192.4,34.2,148.4,1300,330,28.4,2.6,0.91,25.86,54.26,1.2,0.15,9,0,6
288,6.68,0.196,9.47,213.6,56.8,133.5,1550,330,45.2,2,0.74,12.98,31.53,0.7,0.18,11,0,6
289,6.65,0.285,8.89,196,24,128.6,1850,120,19.6,2.9,0.87,16.83,24.39,1,0.09,14,0,6
290,6.01,0.106,9.31,212.8,22.8,138.5,1550,360,20.3,1.1,0.38,14.92,11.53,0.9,0.12,15,0,6
291,6.15,0.131,6.95,179.2,48.4,123.6,1050,150,25.7,1.1,0.63,20.02,26.8,0.8,0.12,9,2,6
292,5.77,0.099,6.44,170.8,16.1,89,1100,330,16.2,0.9,0.4,19.77,24.41,0.7,0.07,14,2,7
293,6.08,0.134,6.37,173.6,33.2,128.6,1200,720,29.7,1.6,0.55,16.96,8.59,0.8,0.11,9,2,6
294,6.49,0.223,4.64,123.2,16,192.9,2200,630,16.2,3.7,0.65,17.64,56.55,1.1,0.08,15,2,6
295,7.03,0.338,6.44,173.8,63.2,230.4,3400,480,17.6,7,0.93,9.31,27.99,1.4,0.12,15,2,6
296,7.22,0.382,5.6,147.6,13.6,143.4,2550,330,8.1,2.6,0.67,16.58,49.88,0.7,0.13,14,2,6
297,7.18,0.392,5.99,153.2,64,220.7,2650,630,10.8,5.1,0.6,13.09,39.46,2,0.12,14,2,6
298,6.9,0.273,9.27,206.8,28.8,133.5,2250,420,12.2,5.5,0.72,11.32,27.96,0.8,0.11,15,2,6
299,7.2,0.362,5.8,151.2,56.8,215.4,2350,480,9.5,2.2,0.52,12.94,29.82,0.7,0.13,15,2,6
300,5.91,0.186,7.15,176.4,35.1,54.4,1550,480,10.1,2.2,0.96,28.83,57.26,0.7,0.11,15,2,7
301,6.08,0.224,5.22,153.2,24.7,118.7,1650,660,8.1,2.6,1.05,29.32,55.85,0.9,0.1,14,2,6
302,6.02,0.228,6.28,173.2,38.9,113.7,2150,540,12.8,4.1,0.92,26.13,47.47,1.1,0.11,14,2,7
303,7.22,0.546,5.6,156.4,20.8,54.4,2550,810,10.1,2.8,1.02,6.87,7.82,1,0.1,14,2,7
304,6.02,0.198,8.5,192.4,55.1,108.8,1500,390,12.2,0.2,0.26,10.36,11.26,0.3,0.09,9,2,7
305,5.6,0.112,7.15,180.4,60.8,49.5,3400,630,9.5,0.8,0.37,16.39,5.22,0.9,0.13,9,2,7
306,5.7,0.142,6.57,171.2,68.4,54.4,2300,480,12.8,4,0.38,12.27,6.13,0.5,0.08,9,2,7
307,5.9,0.243,9.47,209.2,42.7,74.2,1850,720,12.2,0.6,0.35,20.01,16.11,0.8,0.09,9,2,7
308,5.92,0.238,8.89,194.8,47.5,89,2050,690,10.8,0.4,0.42,23.52,37.31,0.6,0.08,14,2,7
309,7.43,0.281,3.09,123.2,12.8,168.1,1500,780,9.5,1.2,0.33,4.63,11.33,0.6,0.07,14,2,6
310,7.48,0.383,9.27,212.8,12,196.3,2950,780,13.5,1.6,0.37,5.56,15.67,1,0.11,14,2,6
311,7.01,0.234,8.89,190,68,84.1,1050,390,13.5,1.4,0.61,9.48,24.3,0.8,0.13,14,2,7
312,6.65,0.376,9.08,193.6,48.8,206.7,2000,660,8.1,1.2,0.65,5.76,16.96,0.9,0.14,14,2,6
313,6.72,0.232,6.28,168.2,56.8,103.8,2950,870,10.8,0.9,0.67,11.3,32.23,0.9,0.11,14,2,7
314,7.31,0.323,8.69,189.4,72,153.3,2250,570,8.1,1.3,0.41,6.17,16.34,1.1,0.08,14,2,6
315,7.73,0.404,8.15,190.4,71.2,54.4,1650,690,12.8,1.9,0.82,6.04,26.75,0.6,0.13,14,2,7
316,6.54,0.267,9.47,206.8,71.2,181.3,2950,630,8.8,0.5,0.78,9.1,14.9,0.9,0.11,14,2,6
317,6.42,0.165,6.67,167.6,22.4,79.1,1550,750,10.8,0.3,0.9,12.55,16.27,0.8,0.13,14,2,7
318,6.81,0.185,9.08,190.4,26.4,59.3,2250,960,10.8,0.9,0.68,6.72,11.11,0.9,0.11,14,2,7
319,6.61,0.164,5.8,153.2,16.8,74.2,1800,780,8.1,0.5,0.46,6.2,11.66,1.5,0.24,14,2,7
320,7.23,0.445,7.34,178.2,61.7,153.3,2000,840,7.4,1.7,0.69,37.48,61.37,1.3,0.29,14,2,6
321,7.2,0.431,7.73,180.4,55.2,173.1,3450,750,8.1,5.8,0.63,6.62,7.35,0.6,0.11,15,2,6
322,5.91,0.436,9.31,207.2,65.5,64.3,1250,690,9.5,2.3,1.42,19.36,4.38,0.6,0.27,14,2,7
323,6.32,0.224,8.15,196,67.2,84.1,2850,960,9.5,2.4,0.94,14.84,17.07,0.9,0.11,14,2,7
324,6.5,0.202,8.11,192.4,64,103.8,1250,390,12.2,0.9,0.65,10.51,13.35,0.8,0.24,14,2,7
325,6.09,0.211,7.83,180.4,84.5,168.1,1150,390,10.1,0.5,0.63,19.61,8.06,0.7,0.08,14,2,6
326,6.88,0.239,5.8,154.4,61.6,79.1,1700,600,7.4,1.1,0.74,8.51,10.02,0.6,0.08,14,2,7
327,6.26,0.343,7.92,189.6,48,113.7,1550,360,8.8,1.2,0.79,12.66,3.58,0.7,0.16,14,2,7
328,6.44,0.348,6.57,172.5,64,197.8,1650,390,12.2,1.6,0.83,11.34,6.31,0.9,0.14,14,2,6
329,6.12,0.154,6.95,178.8,40.8,148.4,1300,450,10.8,0.7,1.39,16.87,17.13,0.7,0.17,14,2,6
330,6.23,0.616,6.44,173.5,65.6,103.8,1300,480,24.3,3,0.9,16.37,4.93,0.5,0.11,14,2,7
331,6.17,0.384,7.73,183.2,48.4,79.1,1600,330,10.1,2.2,0.99,23.77,4.97,0.8,0.14,14,2,7
332,6.39,0.414,8.31,195.6,64.8,128.6,550,420,20.3,1.6,0.54,11.67,5.77,0.5,0.19,15,2,6
333,6.34,0.358,9.47,209.2,52.8,158.2,1450,540,12.2,1.7,0.66,13.79,7.3,0.7,0.12,14,2,6
334,6.86,0.504,6.37,173.2,53.6,168.1,1150,630,12.8,2.3,0.42,7.66,4.35,1.3,0.15,14,2,6
335,7.35,0.372,7.92,182.4,47.2,197.8,350,690,14.2,2.1,0.54,4.03,4.78,0.7,0.16,14,2,6
336,6.17,0.313,6.76,178.8,64.6,98.9,650,300,9.5,2.6,0.96,16.29,14.08,0.7,0.14,14,2,7
337,6.64,0.204,7.15,180.2,53.6,138.5,2400,360,12.2,2.2,1.04,11.12,14.19,1.5,0.11,14,2,6
338,6.3,0.459,6.99,173.6,51.2,168.1,1150,390,13.5,3,0.92,13.91,8.51,1,0.1,14,2,6
339,6.02,0.61,8.89,190.4,73.1,183,200,300,25.7,3.3,1.52,16.29,5.35,1,0.14,14,2,6
340,5.97,0.336,8.89,194.2,55.1,98.9,2600,330,16.2,2.4,0.68,12.39,9.42,0.8,0.14,14,2,7
341,6.24,0.114,3.28,123.2,20,89,200,570,9.5,0.4,1.01,16.47,15.27,2.2,0.18,14,2,7
342,6.73,0.75,7.92,182.4,46.4,103.8,500,540,18.9,3.7,0.54,9.26,5.23,0.6,0.15,15,2,7
343,6.37,0.221,3.28,123.2,25.6,163.2,1050,480,10.1,0.4,0.68,9.07,8.33,1,0.13,14,2,6
344,6.77,0.224,8.31,207.2,35.2,113.7,1550,270,12.2,0.7,0.52,7.71,10.81,0.6,0.11,14,2,7
345,5.87,0.297,7.34,178.4,79.8,69.2,650,360,6.8,0.6,0.39,14.61,8.46,0.6,0.28,14,2,7
346,7.05,0.562,8.11,192.4,27.2,74.2,2550,420,26.3,0.4,0.33,4.07,3.31,0.4,0.09,14,2,7
347,6.02,0.358,6.57,172.4,86.4,103.8,3550,270,9.5,0.3,0.45,11.23,4.03,0.8,0.33,14,2,7
348,6.86,0.385,5.99,167.4,70.4,153.3,300,510,25,5.3,1.09,7.27,4.82,1.9,0.15,15,2,6
349,6.39,0.339,5.8,162,28,227.5,800,450,10.1,0.9,0.4,10.44,9.22,0.5,0.13,14,2,6
350,6.54,0.253,8.5,179.2,32.8,148.4,250,450,16.2,2.2,0.41,9.13,14.96,0.7,0.14,14,2,6
351,5.35,0.335,8.31,188.8,82.6,84.1,1550,510,11.5,0.5,0.64,18.06,9.24,0.8,0.19,9,2,7
352,6.71,0.485,5.8,162.4,29.6,94,2600,240,25.7,2.4,1.28,18.09,5.48,0.3,0.17,14,2,7
353,6.62,0.336,9.66,215.2,62.4,217.6,700,60,18.9,0.8,0.56,8.01,3.24,0.6,0.31,14,2,6
354,6.48,0.219,9.85,212.4,43.2,103.8,650,450,21.6,1.1,0.66,10.6,18.87,1.7,0.29,14,2,7
355,7.01,0.37,7.73,183.2,29.6,49.5,1350,420,16.9,0.9,0.63,5.62,3.98,1.3,0.17,14,2,7
356,6.76,0.452,6.64,179.2,44.8,153.3,150,330,27,2.5,0.61,10.99,3.22,1.8,0.27,14,2,6
357,7.02,0.272,8.89,199.2,71.2,98.9,2550,270,16.2,2.3,0.62,7.16,13.68,1.9,0.35,14,2,7
358,7.23,0.615,7.53,176.8,62.4,230.9,2150,300,28.4,3.3,0.73,3.99,4.49,2.4,0.46,15,2,6
359,7.24,0.722,6.57,168.8,68,212.1,2050,510,37.8,4.7,0.75,5.06,5.2,2.6,0.21,14,2,6
360,6.46,0.428,7.92,182.4,27.2,103.8,1850,90,16.9,1.4,0.75,12.72,5.63,1.9,0.29,14,2,7
361,6.42,0.234,9.11,201.6,16,79.1,2150,300,19.6,1.5,0.76,12.02,17.69,1.6,0.25,14,2,7
362,7.07,0.658,4.64,147.6,71.2,207.7,2550,270,29.7,6.3,0.73,5.42,4.57,3.2,0.21,15,2,6
363,7.36,0.646,7.15,184.8,76.8,208.2,550,420,32.4,7.6,0.79,4.72,4.59,1.7,0.14,15,2,6
364,6.18,0.329,7.34,190.4,73.6,166.3,1650,300,26.3,3.6,0.51,4.51,10.95,2.7,0.17,15,2,6
365,6.65,0.313,8.89,198.2,65.6,153.3,650,210,29,3.3,0.71,6.72,13.25,1.6,0.11,14,2,6
366,7.7,0.276,9.08,209.2,71.2,103.8,200,420,30.4,2.7,0.54,4.22,11.52,2.1,0.24,14,2,7
367,7.17,0.472,7.15,177.2,70.4,128.6,1550,270,29,7.8,0.51,7.73,5.85,3.2,0.3,17,2,6
368,6.08,0.14,9.08,207.4,76.9,69.2,1250,180,25.7,0.8,0.61,15.45,11.61,1.2,0.2,14,2,7
369,6.84,0.462,8.5,183.6,59.2,84.1,2550,390,19.6,2.9,0.51,7.15,9.17,2.5,0.49,15,2,7
370,6.14,0.175,8.11,191.2,86.4,123.6,2050,270,23.6,0.8,0.54,14.71,14.53,1.5,0.09,14,2,6
371,6.95,0.441,9.12,201.6,68.8,163.2,1950,180,26.3,2.1,2.75,15.5,3.7,1.7,0.17,14,2,6
372,6.23,0.18,6.95,173.6,9.6,183,1350,90,31.7,0.9,0.55,11.82,14.55,1.6,0.32,14,2,6
373,5.9,0.564,9.73,201.6,71.2,54.4,1500,180,29,1.2,0.89,19.3,5.33,2.6,0.26,14,2,7
374,6.45,0.204,8.11,188,20.8,89,950,60,33.1,0.7,0.37,7.09,13.24,1.4,0.16,14,2,7
375,5.58,0.18,8.11,194.4,86.4,49.5,2650,390,16.9,0.2,0.26,7.21,9.4,1.3,0.46,14,2,7
376,6.72,0.134,9.27,202.4,80.75,168.1,2100,240,18.2,0.3,0.48,7.37,25.18,1.4,0.13,14,2,6
377,6.63,0.108,9.85,226.8,65.55,212.6,1250,180,27.7,0.2,0.48,9.68,19.22,1.3,0.11,14,2,6
378,6.49,0.168,8.89,196,56.05,232.4,1350,330,27,0.5,0.35,9.3,12.75,1.5,0.14,14,2,6
379,6.13,0.147,5.22,145.6,71.25,153.3,1750,270,23.6,0.3,0.24,6.15,13.68,1.5,0.26,14,2,6
380,6.22,0.227,7.92,184.8,20.8,89,1150,330,29,0.5,0.46,7.58,12.9,1.5,0.12,15,2,7
381,7.91,0.41,8.11,197.2,64,64.3,800,240,31.7,0.7,0.39,2.92,5.32,1.7,0.14,15,2,7
382,7.1,0.393,6.95,162.4,71.2,118.7,3550,270,36.5,1.2,0.66,10.06,12.81,1.9,0.17,15,2,6
383,6.41,0.222,9.27,216,35.2,103.8,750,390,19.6,1.3,0.53,11.79,23.19,1.4,0.36,15,2,7
384,6.77,0.247,8.89,192.8,28.8,138.5,250,300,25.7,1.4,0.53,3.63,6.05,1.4,0.3,15,2,6
385,6.73,0.169,9.08,206.8,40.8,178,2650,240,29,1.3,0.89,9.17,11.1,1.6,0.15,15,2,6
386,6.65,0.16,7.15,177.2,31.2,227.5,2200,330,33.1,1,1.03,11.38,16.93,1,0.2,14,2,6
387,6.87,0.165,7.34,175.6,37.6,163.2,1550,390,25.7,1,0.97,7.5,12.17,1.7,0.18,14,2,6
388,6.65,0.181,8.89,194.4,47.2,103.8,750,150,29,1.3,0.82,10.61,12.15,1.4,0.18,15,2,7
389,7.95,0.495,6.57,172.4,54.4,74.2,1150,240,19.6,0.9,0.22,1.69,2.32,1.9,0.13,17,2,7
390,7.84,0.319,6.37,164.8,42.4,89,2750,150,14.9,2.4,2.14,17.23,3.27,2.3,0.21,9,2,7
391,7.37,0.326,8.89,196.8,56,123.6,2650,390,27,1.1,2.51,26.68,1.61,2.3,0.28,9,2,6
392,6.19,0.405,7.15,180.2,72,168.1,2050,90,21.6,1.3,1.81,17.08,0.67,2,0.26,9,2,6
393,6.66,0.29,6.95,169.2,76,138.5,1350,330,23,0.4,1.17,8.35,0.64,1.1,0.4,9,2,6
394,7.71,0.31,8.89,194.8,63.2,148.4,1750,180,27,0.8,2.05,15,2.21,0.8,0.46,14,2,6
395,7.99,0.314,8.11,189.4,53.6,103.8,2050,360,32.4,1.6,1.07,6.87,4.3,0.6,0.44,14,2,7
396,7.55,0.618,7.15,180.4,58.4,69.2,2200,420,27.7,1,1.13,7.42,0.75,0.8,0.3,14,2,7
397,6.38,0.638,7.73,184.6,38.4,49.5,2550,270,29,1.2,1.45,27.32,0.86,1.1,0.12,9,2,7
398,7.69,0.401,9.47,213.6,59.2,89,1150,300,26.3,0.3,0.92,4.08,0.61,1.2,0.13,14,2,7
399,7.18,0.408,5.22,167.2,36,128.6,1650,150,33.8,0.6,1.32,9.47,0.68,1.6,0.16,0,2,6
400,7.07,0.605,6.37,172.8,35.2,153.3,1850,120,12.8,0.6,1.38,12.63,0.73,0.9,0.33,14,2,6
401,7.09,0.556,7.34,181.6,55.2,212.6,2350,180,18.2,0.7,1.62,14.19,1.26,1.4,0.11,14,2,6
402,7.27,0.399,7.92,186.8,63.2,187.9,2950,30,19.6,0.6,1.5,16.74,1.2,1.2,0.31,9,2,6
403,6.99,0.197,9.08,206,71.2,148.4,2550,420,22.3,0.8,1.72,25.34,3.64,0.8,0.13,14,2,6
404,7.31,0.295,6.18,172.8,64.8,103.8,1700,330,30.4,0.5,1.51,14.85,1.04,0.7,0.37,9,2,7
405,7.22,0.405,5.22,166,72.8,84.1,3550,300,27.7,1.3,1.64,10.59,2.9,0.6,0.13,9,2,7
406,7.6,0.409,6.57,176.8,68,64.3,2350,150,24.3,1,0.72,3.57,1.18,1.1,0.11,14,2,7
407,7.08,0.223,9.47,218.4,59.2,79.1,1650,330,25.7,0.9,1.87,25.47,4.58,0.7,0.13,9,2,7
408,7.17,0.527,7.92,184.8,71.2,49.5,50,270,19.6,1,1.23,11.34,0.38,0.9,0.1,9,2,7
409,7.47,0.441,8.31,196,76.8,202.7,950,90,29,9.7,1.73,4.82,0.56,1.2,0.12,14,2,6
410,7.26,0.652,7.92,182.8,56.8,89,750,390,25,1,0.96,6.72,0.67,1.4,0.1,14,2,7
411,6.42,0.675,8.89,198.8,70.4,138.5,1150,240,25,1.3,0.73,5.35,0.29,1,0.1,14,2,6
412,7.43,0.471,6.37,170.4,54.4,168.1,1350,120,29,1,1.18,13.85,0.64,0.8,0.08,14,2,6
413,7.26,0.485,5.6,167.2,74.4,128.6,3450,360,18.2,4.9,1.82,19.33,0.75,0.6,0.14,9,2,6
414,7.01,0.348,10.41,207.2,67.2,103.8,2350,90,13.5,2.89,1.82,11.82,9.29,0.4,0.11,15,2,7
415,6.11,0.233,8.89,182.4,84.5,153.3,1750,300,12.8,2.11,2.08,27.68,16.44,1.6,0.3,14,2,6
416,6.38,0.301,7.73,168,56,69.2,1550,60,16.9,3.66,2.98,22.13,11.65,1.2,0.08,15,2,7
417,6.43,0.124,10.68,212.8,48,49.5,650,210,9.5,1.91,2.54,29.3,18.2,0.9,0.45,15,2,7
418,5.91,0.289,8.37,184.8,58.9,64.3,1350,150,15.5,2.4,2.11,27.56,16.63,0.6,0.33,14,2,7
419,6.58,0.209,8.95,190.4,63.2,89,2050,270,14.9,1.85,2.08,16.74,8.98,0.7,0.12,14,2,7
420,6.28,0.127,9.08,190.4,52,123.6,2650,360,12.2,2.31,3.03,28.38,19.67,1.4,0.36,15,2,6
421,6.36,0.279,9.47,196,65.6,202.7,1700,210,16.9,2.15,2.04,19.74,14.76,0.7,0.08,14,2,6
422,7.7,0.483,10.08,207.2,61.7,168.1,1850,330,35.8,6.07,2.21,35.82,5.58,1,0.1,15,2,6
423,7.55,0.365,8.14,179.2,71.2,64.3,2200,210,19.6,4.81,1.21,5.562,1.58,0.6,0.12,17,2,7
424,6.42,0.211,9.57,201.6,69.6,79.1,100,240,16.9,5.44,1.36,28.6,11.18,0.4,0.11,15,2,7
425,6.74,0.278,10.55,218.4,68,128.6,750,300,16.2,7.09,1.23,19.49,13.15,0.3,0.33,15,2,6
426,6.15,0.27,10.12,207.2,92.1,173.1,1700,210,10.1,2.39,1.1,26.55,7.94,0.4,0.1,14,2,6
427,6.26,0.335,7.73,186,66.4,148.4,1150,330,14.9,3.2,1.42,33.46,5.09,0.6,0.12,15,2,6
428,7.37,0.467,7.92,184.8,73.6,98.9,750,150,19.6,3.62,1.18,6.06,3.52,1.1,0.07,15,2,7
429,6.05,0.256,8.89,196,67.4,168.1,1750,180,14.9,2.35,1.34,29.39,11.37,0.6,0.08,14,2,6
430,6.79,0.365,7.53,179.2,69.6,103.8,950,270,39.8,8.12,1.2,17.56,8.24,0.9,0.09,15,2,7
